age,job,marital,education,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,y
46,admin.,divorced,university.degree,yes,no,telephone,jul,59,4,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
45,entrepreneur,married,university.degree,yes,yes,cellular,aug,38,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
50,blue-collar,married,basic.4y,no,yes,cellular,jul,849,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,yes
55,services,married,basic.6y,yes,no,cellular,jul,326,6,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
39,technician,divorced,high.school,no,no,cellular,mar,222,1,12,2,success,-1.8,93.369,-34.8,5008.7,yes
29,technician,single,university.degree,yes,yes,cellular,aug,626,3,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
40,management,married,high.school,no,yes,cellular,aug,119,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
44,technician,married,professional.course,yes,no,telephone,may,388,7,999,0,nonexistent,1.1,93.994,-36.4,5191,no
38,technician,married,professional.course,yes,no,cellular,aug,479,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,yes
36,technician,divorced,professional.course,no,no,telephone,may,446,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
28,blue-collar,married,basic.6y,no,no,cellular,may,68,2,999,1,failure,-1.8,92.893,-46.2,5099.1,no
47,admin.,single,unknown,no,no,telephone,may,127,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
34,admin.,married,university.degree,no,no,cellular,aug,109,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
38,technician,married,university.degree,yes,yes,cellular,mar,113,1,999,1,failure,-1.8,92.843,-50,5099.1,no
33,services,married,high.school,yes,no,telephone,jun,393,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
51,technician,single,university.degree,no,no,cellular,jun,151,2,999,0,nonexistent,-2.9,92.963,-40.8,5076.2,no
30,blue-collar,single,basic.4y,yes,no,telephone,jun,256,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
48,technician,married,university.degree,no,no,cellular,aug,42,7,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
28,blue-collar,single,basic.9y,yes,no,telephone,jun,525,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
36,blue-collar,married,basic.6y,yes,no,telephone,may,57,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
46,management,divorced,high.school,no,no,cellular,nov,499,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
31,technician,single,unknown,yes,no,cellular,may,84,1,999,1,failure,-1.8,92.893,-46.2,5099.1,no
20,student,single,unknown,no,no,cellular,oct,137,3,999,3,failure,-1.1,94.601,-49.5,4963.6,no
35,services,married,high.school,yes,no,cellular,may,31,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
38,blue-collar,married,basic.9y,unknown,unknown,telephone,jun,430,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
76,retired,married,university.degree,no,no,cellular,aug,126,1,999,1,failure,-1.7,94.027,-38.3,4991.6,no
45,entrepreneur,divorced,professional.course,yes,no,cellular,jul,211,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
32,housemaid,married,basic.4y,yes,yes,cellular,may,340,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
39,management,single,university.degree,no,no,cellular,may,412,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
32,admin.,married,university.degree,no,no,telephone,nov,132,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
29,admin.,single,basic.9y,no,no,cellular,may,79,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
44,services,married,professional.course,no,no,cellular,aug,341,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
32,services,married,high.school,no,yes,cellular,jul,157,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
56,retired,married,university.degree,yes,no,cellular,jun,252,1,999,2,failure,-2.9,92.963,-40.8,5076.2,no
33,blue-collar,married,basic.9y,yes,no,cellular,may,263,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
39,management,married,high.school,no,no,cellular,aug,215,3,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
24,technician,married,university.degree,yes,yes,cellular,sep,89,2,3,1,success,-3.4,92.379,-29.8,5017.5,yes
33,admin.,single,university.degree,yes,no,cellular,may,143,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
58,entrepreneur,divorced,university.degree,no,no,telephone,jun,40,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
29,admin.,single,university.degree,yes,no,telephone,jun,10,27,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
31,admin.,married,university.degree,yes,no,cellular,aug,113,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
27,admin.,married,university.degree,no,no,telephone,may,191,5,999,0,nonexistent,1.1,93.994,-36.4,5191,no
60,admin.,divorced,professional.course,yes,no,cellular,sep,481,1,999,1,failure,-1.1,94.199,-37.5,4963.6,yes
55,entrepreneur,married,professional.course,yes,yes,cellular,oct,233,1,999,2,failure,-3.4,92.431,-26.9,5017.5,no
37,blue-collar,married,basic.9y,yes,no,cellular,may,204,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
52,admin.,married,unknown,yes,no,telephone,apr,403,1,6,1,success,-1.8,93.749,-34.6,5008.7,yes
46,services,married,high.school,yes,no,cellular,apr,180,1,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
42,blue-collar,divorced,basic.6y,yes,no,cellular,may,16,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
35,admin.,single,university.degree,yes,no,cellular,jul,447,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
49,technician,divorced,unknown,yes,yes,cellular,oct,81,1,999,0,nonexistent,-3.4,92.431,-26.9,5017.5,no
29,services,divorced,high.school,no,yes,telephone,jun,361,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
32,blue-collar,married,basic.9y,no,no,cellular,nov,1091,2,5,1,success,-0.1,93.2,-42,5195.8,yes
37,self-employed,married,university.degree,no,no,cellular,may,395,1,999,1,failure,-1.8,92.893,-46.2,5099.1,no
39,technician,single,professional.course,no,no,telephone,jun,432,4,999,0,nonexistent,1.4,94.465,-41.8,5228.1,yes
51,services,married,high.school,yes,no,telephone,jul,596,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,yes
28,admin.,single,high.school,yes,no,cellular,may,59,3,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
34,management,married,university.degree,yes,no,cellular,may,77,4,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
31,technician,single,high.school,yes,yes,cellular,aug,768,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,yes
31,admin.,married,university.degree,yes,no,cellular,aug,96,5,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
31,admin.,single,university.degree,yes,no,telephone,jun,357,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
38,self-employed,single,university.degree,no,no,telephone,may,459,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
33,unemployed,married,basic.9y,no,no,telephone,jun,11,6,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
32,technician,single,university.degree,no,no,cellular,aug,264,12,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
54,technician,married,professional.course,yes,no,cellular,apr,698,1,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
41,admin.,divorced,high.school,yes,no,telephone,jun,204,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
59,services,married,basic.4y,no,no,cellular,aug,93,7,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
57,retired,married,university.degree,yes,no,cellular,apr,374,1,2,1,success,-1.8,93.075,-47.1,5099.1,no
38,entrepreneur,divorced,university.degree,yes,no,cellular,nov,252,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
46,admin.,married,university.degree,yes,no,telephone,may,158,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
37,unemployed,single,university.degree,yes,yes,cellular,nov,95,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
47,services,single,basic.9y,unknown,unknown,telephone,jun,835,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,yes
45,admin.,single,university.degree,no,no,cellular,aug,505,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,yes
36,blue-collar,married,basic.6y,yes,no,telephone,jul,16,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
40,unemployed,single,high.school,yes,no,cellular,jul,300,5,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
38,blue-collar,married,basic.9y,no,no,cellular,nov,180,2,999,1,failure,-0.1,93.2,-42,5195.8,no
44,blue-collar,married,high.school,no,no,telephone,jun,390,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
25,self-employed,married,university.degree,yes,no,telephone,may,274,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
30,blue-collar,single,basic.6y,yes,no,telephone,jul,135,5,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
43,management,married,professional.course,no,no,cellular,nov,257,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
58,retired,married,basic.6y,no,no,telephone,may,268,3,999,0,nonexistent,1.1,93.994,-36.4,5191,no
31,technician,married,professional.course,yes,no,telephone,may,157,6,999,0,nonexistent,1.1,93.994,-36.4,5191,no
53,management,married,university.degree,no,no,cellular,jul,477,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
52,admin.,married,unknown,no,no,cellular,aug,91,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
37,management,married,university.degree,no,yes,cellular,apr,76,1,999,1,failure,-1.8,93.075,-47.1,5099.1,no
58,admin.,married,high.school,yes,no,cellular,jul,103,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
37,services,married,high.school,yes,yes,cellular,may,436,3,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
38,admin.,single,unknown,yes,no,cellular,may,191,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
33,services,single,basic.9y,yes,no,cellular,apr,483,2,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
45,services,married,high.school,yes,no,cellular,may,250,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
44,entrepreneur,married,professional.course,no,no,telephone,may,259,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
38,blue-collar,married,basic.6y,yes,no,telephone,jul,389,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
34,blue-collar,married,basic.9y,no,no,telephone,jun,7,1,999,0,nonexistent,-1.7,94.055,-39.8,4991.6,no
47,management,married,university.degree,yes,no,cellular,jul,123,1,999,0,nonexistent,-2.9,92.469,-33.6,5076.2,no
59,admin.,married,university.degree,yes,yes,cellular,jul,92,1,999,0,nonexistent,-2.9,92.469,-33.6,5076.2,no
51,blue-collar,married,basic.4y,yes,yes,cellular,aug,297,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
31,blue-collar,married,basic.6y,yes,no,telephone,jun,406,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
56,management,married,university.degree,yes,yes,cellular,nov,104,1,999,1,failure,-0.1,93.2,-42,5195.8,no
39,admin.,married,university.degree,no,no,telephone,jun,135,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
41,entrepreneur,married,university.degree,yes,no,cellular,nov,854,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,yes
41,management,divorced,basic.6y,yes,no,cellular,nov,147,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
53,services,married,high.school,no,no,telephone,may,203,4,999,0,nonexistent,1.1,93.994,-36.4,5191,no
35,blue-collar,married,high.school,no,yes,cellular,jul,149,4,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
58,retired,married,basic.9y,no,yes,cellular,may,144,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
25,self-employed,married,professional.course,yes,no,telephone,jun,394,2,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
35,blue-collar,divorced,basic.9y,yes,no,cellular,may,523,1,999,1,failure,-1.8,92.893,-46.2,5099.1,no
28,services,single,high.school,no,no,cellular,jul,73,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
55,blue-collar,married,professional.course,yes,yes,cellular,may,197,3,999,1,failure,-1.8,92.893,-46.2,5099.1,no
54,entrepreneur,married,basic.4y,no,yes,telephone,may,108,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
45,technician,divorced,basic.9y,no,no,cellular,jul,80,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
32,blue-collar,married,basic.9y,yes,no,cellular,apr,114,1,999,1,failure,-1.8,93.075,-47.1,5099.1,no
50,admin.,married,basic.9y,yes,no,cellular,aug,122,3,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
75,retired,married,basic.4y,no,no,cellular,apr,109,1,999,1,failure,-1.8,93.075,-47.1,5099.1,yes
33,self-employed,divorced,unknown,no,no,telephone,may,1161,4,999,0,nonexistent,1.1,93.994,-36.4,5191,no
29,management,married,university.degree,no,yes,cellular,aug,181,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
45,management,married,university.degree,yes,no,cellular,may,239,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
38,admin.,divorced,university.degree,no,no,cellular,apr,360,1,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,yes
24,services,single,professional.course,yes,no,telephone,may,314,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
41,technician,married,professional.course,yes,no,cellular,aug,984,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
58,retired,divorced,high.school,yes,no,cellular,jun,663,1,999,0,nonexistent,-2.9,92.963,-40.8,5076.2,yes
34,admin.,married,university.degree,no,yes,telephone,may,157,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
34,admin.,married,university.degree,no,no,cellular,nov,141,2,999,0,nonexistent,-1.1,94.767,-50.8,4963.6,no
37,technician,divorced,professional.course,no,no,telephone,may,374,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
53,blue-collar,divorced,basic.4y,no,no,telephone,jun,706,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,yes
54,technician,divorced,professional.course,yes,yes,cellular,jul,797,14,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
32,technician,divorced,professional.course,yes,no,cellular,nov,250,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
42,admin.,married,high.school,yes,no,cellular,jul,311,6,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
28,technician,single,professional.course,yes,no,cellular,aug,63,2,3,1,success,-2.9,92.201,-31.4,5076.2,yes
33,services,single,high.school,yes,no,telephone,may,111,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
41,blue-collar,married,basic.9y,yes,no,cellular,apr,148,2,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
31,services,married,high.school,no,yes,cellular,nov,49,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
40,technician,married,basic.9y,no,yes,telephone,may,171,4,999,0,nonexistent,1.1,93.994,-36.4,5191,no
53,unknown,married,basic.9y,no,yes,cellular,nov,242,1,999,1,failure,-3.4,92.649,-30.1,5017.5,no
40,admin.,divorced,university.degree,yes,no,cellular,aug,257,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
82,housemaid,married,basic.4y,no,no,telephone,sep,279,3,3,2,success,-1.1,94.199,-37.5,4963.6,yes
28,blue-collar,married,basic.4y,yes,no,cellular,jul,113,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
30,admin.,married,high.school,yes,no,cellular,nov,246,3,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
31,unemployed,single,university.degree,yes,no,cellular,jul,309,1,6,3,success,-1.7,94.215,-40.3,4991.6,yes
32,technician,single,university.degree,yes,no,cellular,aug,168,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
54,blue-collar,married,basic.4y,yes,no,cellular,aug,153,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
31,blue-collar,married,basic.9y,no,no,cellular,jul,152,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
50,services,married,unknown,yes,no,cellular,aug,90,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
47,technician,single,unknown,no,no,cellular,jul,117,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
31,admin.,single,high.school,yes,yes,cellular,may,149,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
32,unemployed,married,high.school,yes,no,cellular,nov,640,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
46,admin.,single,high.school,yes,no,cellular,nov,199,2,999,2,failure,-1.1,94.767,-50.8,4963.6,no
47,admin.,single,high.school,no,no,cellular,may,1114,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
32,admin.,single,high.school,no,no,cellular,nov,74,2,999,2,failure,-1.1,94.767,-50.8,4963.6,no
52,services,divorced,high.school,no,no,cellular,nov,190,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
45,admin.,married,high.school,yes,no,cellular,oct,738,3,6,1,success,-1.1,94.601,-49.5,4963.6,yes
32,admin.,married,university.degree,yes,no,cellular,may,374,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
71,blue-collar,divorced,basic.4y,no,no,cellular,aug,224,1,999,0,nonexistent,-1.7,94.027,-38.3,4991.6,no
49,services,married,high.school,yes,no,telephone,may,344,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
46,admin.,married,high.school,yes,yes,telephone,jun,148,10,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
46,blue-collar,married,professional.course,no,no,cellular,nov,383,1,999,0,nonexistent,-1.1,94.767,-50.8,4963.6,no
38,admin.,married,university.degree,yes,no,cellular,aug,35,6,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
57,services,married,professional.course,no,no,cellular,aug,153,2,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
41,services,single,high.school,unknown,unknown,cellular,may,772,2,999,1,failure,-1.8,92.893,-46.2,5099.1,no
44,technician,married,professional.course,no,no,telephone,may,124,3,999,0,nonexistent,1.1,93.994,-36.4,5191,no
47,technician,married,university.degree,yes,no,cellular,aug,345,7,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
40,blue-collar,married,basic.9y,yes,yes,telephone,may,951,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
57,retired,single,professional.course,yes,no,telephone,may,188,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
27,admin.,single,unknown,no,no,cellular,mar,128,1,3,1,success,-1.8,93.369,-34.8,5008.7,yes
52,blue-collar,married,basic.9y,no,no,cellular,aug,809,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,yes
34,management,married,university.degree,yes,yes,telephone,jun,192,1,999,0,nonexistent,-2.9,92.963,-40.8,5076.2,no
42,entrepreneur,married,university.degree,yes,no,telephone,may,154,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
51,technician,married,unknown,yes,no,telephone,jun,17,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
45,management,married,basic.4y,yes,no,telephone,may,100,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
56,retired,married,high.school,no,no,cellular,may,317,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
41,management,married,university.degree,yes,no,cellular,may,93,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
44,admin.,married,high.school,yes,no,cellular,aug,111,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
50,blue-collar,married,basic.6y,yes,no,cellular,may,293,3,3,1,success,-1.8,92.893,-46.2,5099.1,yes
54,self-employed,married,high.school,no,no,cellular,aug,119,3,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
51,blue-collar,married,basic.6y,no,no,cellular,aug,393,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
30,blue-collar,single,basic.9y,no,no,cellular,nov,30,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
42,housemaid,married,basic.4y,yes,no,telephone,jun,38,8,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
41,technician,married,professional.course,yes,no,telephone,jun,442,11,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
47,services,single,basic.9y,no,no,cellular,nov,187,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
35,blue-collar,married,basic.6y,yes,no,cellular,apr,113,1,999,1,failure,-1.8,93.075,-47.1,5099.1,no
58,blue-collar,married,basic.9y,no,no,cellular,nov,64,1,999,1,failure,-0.1,93.2,-42,5195.8,no
50,blue-collar,divorced,high.school,yes,yes,cellular,jul,629,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,yes
41,technician,married,professional.course,no,no,telephone,may,92,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
38,technician,married,university.degree,yes,no,cellular,may,147,1,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
32,student,single,university.degree,no,no,cellular,nov,151,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
21,student,single,high.school,no,no,cellular,aug,259,1,999,1,failure,-2.9,92.201,-31.4,5076.2,no
46,admin.,divorced,basic.9y,no,no,telephone,may,423,1,999,0,nonexistent,1.1,93.994,-36.4,5191,no
42,self-employed,married,university.degree,yes,no,cellular,nov,888,3,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
55,services,married,basic.9y,no,no,cellular,aug,76,13,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
29,admin.,single,high.school,yes,no,telephone,nov,207,1,6,1,success,-1.1,94.767,-50.8,4963.6,no
30,blue-collar,single,basic.6y,yes,no,telephone,jun,100,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
53,management,married,basic.4y,yes,no,cellular,nov,63,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
35,management,married,university.degree,yes,no,cellular,nov,265,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
46,services,married,professional.course,yes,no,telephone,may,273,4,999,0,nonexistent,1.1,93.994,-36.4,5191,no
30,blue-collar,married,unknown,no,no,telephone,may,85,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
43,entrepreneur,married,university.degree,yes,no,cellular,jul,261,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
42,services,married,high.school,yes,no,cellular,jul,136,4,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
32,technician,married,professional.course,no,no,cellular,jul,711,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
41,blue-collar,divorced,basic.9y,yes,no,cellular,may,88,1,999,1,failure,-1.8,92.893,-46.2,5099.1,no
28,admin.,married,university.degree,no,no,cellular,may,72,3,999,1,failure,-1.8,92.893,-46.2,5099.1,no
24,services,single,university.degree,no,no,cellular,jul,113,6,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
43,management,married,university.degree,yes,yes,cellular,apr,307,1,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
30,admin.,single,university.degree,yes,no,cellular,aug,39,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
55,blue-collar,married,basic.9y,no,no,cellular,nov,63,2,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
51,retired,married,basic.9y,no,no,cellular,jul,64,1,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
22,student,single,high.school,no,yes,cellular,jul,154,2,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
32,entrepreneur,single,university.degree,no,yes,cellular,nov,126,1,999,0,nonexistent,-0.1,93.2,-42,5195.8,no
43,admin.,married,professional.course,no,no,cellular,jul,127,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
39,management,married,basic.6y,no,no,telephone,jun,156,5,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
52,blue-collar,divorced,unknown,no,no,cellular,jul,111,8,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
38,technician,single,professional.course,yes,no,cellular,may,202,3,999,1,failure,-1.8,92.893,-46.2,5099.1,no
59,retired,married,basic.4y,no,no,telephone,apr,353,4,999,0,nonexistent,-1.8,93.075,-47.1,5099.1,no
31,blue-collar,married,basic.4y,yes,no,telephone,may,159,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
76,retired,single,basic.4y,no,no,cellular,nov,347,4,6,1,success,-3.4,92.649,-30.1,5017.5,yes
44,unknown,single,basic.9y,yes,no,telephone,jun,76,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
30,blue-collar,married,unknown,no,no,telephone,may,85,2,999,0,nonexistent,1.1,93.994,-36.4,5191,no
32,services,married,high.school,no,no,telephone,jun,174,1,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
41,unemployed,married,unknown,no,no,telephone,jun,280,3,999,0,nonexistent,1.4,94.465,-41.8,5228.1,no
33,admin.,single,university.degree,yes,no,cellular,aug,686,4,999,0,nonexistent,1.4,93.444,-36.1,5228.1,yes
59,retired,married,basic.4y,yes,no,cellular,aug,94,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
28,blue-collar,married,basic.9y,yes,no,cellular,jul,225,3,999,0,nonexistent,1.4,93.918,-42.7,5228.1,no
33,blue-collar,single,basic.6y,yes,no,cellular,may,474,2,999,0,nonexistent,-1.8,92.893,-46.2,5099.1,no
53,services,married,high.school,yes,no,cellular,aug,76,1,999,0,nonexistent,1.4,93.444,-36.1,5228.1,no
